rewards,policy_ddpg_loss,steps,beta,policy_ppo_loss,entropy,kl,critic_loss,value_func_loss
645.8084125413556,0.0031709285,220.0,1.5,-0.010308299,2.4484148,0.0032917585,0.00016969489,0.026565194910703315
714.4997483070503,0.0031552287,251.8,1.5,-0.0102256965,2.4419146,0.0024179108,0.00016666693,0.04918587501249784
757.1711947376264,0.0036378698,267.1,1.5,-0.012222232,2.4307036,0.002888682,0.00016274456,0.0715578454094388
725.8537271882091,0.0027600494,256.05,1.5,-0.00827153,2.4232945,0.0022963453,0.00016062545,0.10530255419677377
775.3012643797742,0.0029335306,265.15,1.5,-0.009380046,2.4177256,0.0018301416,0.00015742196,0.09465161064184034
742.048559469661,0.003537206,261.55,1.5,-0.011955095,2.4151816,0.0038239034,0.00015625854,0.05551192349508893
791.8673806278148,0.0031642448,280.1,1.5,-0.011577822,2.4187992,0.0033365851,0.00015172285,0.09735382639307479
818.9970357706479,0.0028858138,280.3,1.5,-0.012280611,2.425243,0.0031797353,0.0001496353,0.04198607735202775
754.7023284845485,0.003388929,257.25,1.5,-0.011504991,2.4195209,0.003205502,0.0001469009,0.02334314789654002
785.3781934513979,0.0032090282,271.25,1.5,-0.009086808,2.4202394,0.0020316131,0.00014539553,0.09086262014233572
867.1757107079013,0.0035015943,304.5,1.5,-0.009601305,2.415936,0.001680288,0.00014070419,0.05026778098929993
916.562974907419,0.0031332886,318.65,1.5,-0.00862883,2.4179099,0.0016219898,0.00014082906,0.06283630944344483
848.2926115871666,0.00303008,293.25,1.5,-0.009841856,2.411779,0.001888414,0.0001369137,0.052980937355321576
881.7204471741204,0.0029766425,302.15,1.5,-0.010882608,2.4076345,0.0026953635,0.00013307139,0.043880554964314054
869.5068803869726,0.0033519927,292.0,1.5,-0.009349103,2.402287,0.0021644202,0.00013156692,0.03116914832176687
929.0195297282007,0.0039961347,306.65,1.5,-0.010274982,2.4034214,0.0021312311,0.00012835707,0.026496946347995508
924.7147285047104,0.0029528798,326.7,1.5,-0.009161958,2.3986917,0.0025421611,0.00012568047,0.09066106247279525
870.1569464190754,0.0028557815,312.0,1.5,-0.010316079,2.3922849,0.003198038,0.00012634897,0.1078940055547425
975.7632092957299,0.0034554552,336.4,1.5,-0.009644626,2.393446,0.002194752,0.00012368002,0.052779681946864845
976.3926349334721,0.0031895991,352.25,1.5,-0.009153485,2.3892884,0.002405007,0.000119632976,0.07590789960543345
1007.4964868087842,0.0033947683,334.4,1.0,-0.008317681,2.3798118,0.0014628693,0.00011866398,0.022402604302455525
1026.2324009339834,0.0037876929,334.95,1.0,-0.012697158,2.3746061,0.003805107,0.00011636414,0.039053038969334194
980.2973523753799,0.0033362843,349.1,1.0,-0.012194354,2.3729196,0.005626083,0.00011400889,0.054909322149606164
1108.7154243048108,0.003275425,411.05,1.0,-0.008148213,2.3729959,0.0028083248,0.00011445906,0.06442601521815276
1304.1252403494852,0.0029246877,465.05,1.0,-0.008879758,2.3804555,0.0038586806,0.00011276159,0.09085620509964899
1046.2171649618247,0.0032672214,353.5,1.0,-0.010689415,2.384199,0.0042071017,0.00011063817,0.07136595556721619
1207.6624605846227,0.003518796,413.25,1.0,-0.009419609,2.3828387,0.0028263335,0.000110672605,0.12884476930314923
1483.573179078768,0.0033200735,516.65,1.0,-0.008053528,2.3795815,0.0026129931,0.000108292275,0.05261065583428426
1160.0011930274325,0.0029275988,389.9,1.0,-0.008792662,2.3711257,0.0025958933,0.00010755422,0.0988172576025106
1377.1976384795475,0.0035359815,471.85,1.0,-0.008211762,2.362923,0.0025128694,0.00010620827,0.13039669087922226
1414.997139886192,0.0032154205,481.0,1.0,-0.008340687,2.363224,0.0027532245,0.0001054038,0.13439525570078495
1335.4773927440199,0.0033309646,450.9,1.0,-0.008413776,2.3578532,0.0031730963,0.00010599626,0.05682503736356613
