value_func_loss,entropy,beta,policy_loss,rewards,steps,kl
2.251028048751807e-05,3.5712473,3.375,-0.021362755,-49.15,50.0,0.004617448
2.225314983416434e-05,3.572254,2.25,-0.018863592,-48.9,50.0,0.0014469246
0.0001815374353671166,3.5704331,2.25,-0.021554152,-46.75,50.0,0.0031692027
5.135504704481195e-05,3.5605145,2.25,-0.018511683,-49.2,50.0,0.0032771102
9.526466805959643e-05,3.5732057,2.25,-0.028174153,-48.0,50.0,0.0053668376
3.8180987474456815e-05,3.574135,3.375,-0.027612343,-48.05,50.0,0.007617738
0.00011312879157691222,3.5718799,5.0625,-0.02923866,-47.2,50.0,0.0064742034
5.2691860283165e-05,3.556078,5.0625,-0.023816599,-48.1,50.0,0.0028404237
0.00010621270786947601,3.546308,5.0625,-0.024919685,-46.4,50.0,0.0027166004
6.115907292627238e-05,3.5423682,5.0625,-0.021682195,-47.6,50.0,0.0029196409
5.477411674014371e-05,3.5370922,5.0625,-0.017168306,-48.1,50.0,0.0022036177
5.401652046072008e-05,3.5219622,5.0625,-0.027359677,-47.85,50.0,0.0030988096
9.403957274284939e-05,3.5090923,5.0625,-0.024834454,-45.8,50.0,0.0029164988
0.00012536054049508462,3.5167842,5.0625,-0.027659535,-47.4,50.0,0.004389788
0.00032641777854033763,3.5217078,5.0625,-0.022972358,-45.1,50.0,0.0033565795
0.00017508172807991152,3.519826,5.0625,-0.035328373,-45.05,50.0,0.005078202
0.00019214828261911008,3.493585,5.0625,-0.028698448,-44.85,50.0,0.003580743
0.00020415798914124754,3.477784,5.0625,-0.037967987,-44.85,50.0,0.005976809
0.00029753079425958557,3.474337,7.59375,-0.03567833,-43.2,50.0,0.0064884806
0.00013038684262168805,3.4647593,7.59375,-0.01785417,-44.75,50.0,0.0018223551
0.00035127368623322143,3.4481897,7.59375,-0.021720694,-40.7,50.0,0.0026628429
0.00019506293157346783,3.4340105,7.59375,-0.02055564,-40.35,50.0,0.0023787676
0.0003195008539696786,3.4239259,7.59375,-0.024929669,-41.35,50.0,0.0034810246
0.00035498340081404115,3.413846,7.59375,-0.021614023,-37.35,50.0,0.0021514033
0.00035319761265533876,3.4057367,7.59375,-0.028424239,-38.9,50.0,0.0032691576
0.00022843671570871527,3.3877861,7.59375,-0.022808935,-36.6,50.0,0.0020908671
0.00025628323682758873,3.3809266,7.59375,-0.021075813,-42.55,50.0,0.0024358493
