value_func_loss,entropy,rewards,kl,steps,policy_loss,beta
2.8691413718806657e-06,2.2021987,-2.35,0.0040413006,50.0,-0.029345704,5.0625
1.1824349998224988e-06,2.1924684,-1.9,0.0019299655,50.0,-0.022196516,5.0625
1.987893907370608e-06,2.1834345,-2.05,0.005016487,50.0,-0.05358901,5.0625
2.109381109724726e-06,2.1727285,-1.85,0.002547196,50.0,-0.030764548,5.0625
9.104152400562309e-07,2.1633384,-1.85,0.0032499803,50.0,-0.029721523,5.0625
7.406227436324981e-07,2.1508493,-1.95,0.002037963,50.0,-0.023232821,5.0625
8.474836162657262e-07,2.1394553,-2.05,0.0016040335,50.0,-0.019800384,5.0625
2.4607302646075717e-06,2.1300735,-1.9,0.003899009,50.0,-0.044440694,5.0625
5.0329167334203555e-06,2.1131353,-2.45,0.0025501815,50.0,-0.031388327,5.0625
3.4674876096980565e-06,2.0990155,-1.85,0.0023306462,50.0,-0.02171154,5.0625
4.473724577510112e-06,2.0899596,-2.0,0.0027014117,50.0,-0.02466304,5.0625
6.140561371904346e-06,2.070949,-2.35,0.00405219,50.0,-0.03308046,5.0625
6.257311883459736e-07,2.0551996,-1.7,0.0010081646,50.0,-0.019365273,3.375
2.9645804676574097e-06,2.045093,-1.95,0.004106023,50.0,-0.0361027,3.375
6.542024033356055e-07,2.0353973,-1.85,0.006179037,50.0,-0.040943664,5.0625
